Expiry,Tenor,-200bps,-150bps,-100bps,-50bps,-25bps,ATM,+25bps,+50bps,+100bps,+150bps,+200bps
1Y,1Y,91.57,62.03,44.13,31.224,26.182,22.5,20.96,21.4,24.34,27.488,30.297
1Y,2Y,83.27,61.24,46.57,35.807,31.712,28.72,27.12,26.84,28.51,31.025,33.523
1Y,3Y,73.92,56.87,44.77,35.745,32.317,29.78,28.29,27.8,28.77,30.725,32.833
1Y,5Y,55.19,44.64,36.51,30.242,27.851,26.07,24.98,24.56,25.12,26.536,28.165
1Y,10Y,41.18,35.04,30.207,26.619,25.351,24.47,23.98,23.82,24.25,25.204,26.355
5Y,1Y,67.8,49.09,38.4,31.485,29.06,27.26,26.04,25.32,24.94,25.32,25.98
5Y,2Y,57.88,46.41,39.033,33.653,31.531,29.83,28.56,27.65,26.71,26.54,26.76
5Y,3Y,53.43,44.44,38.18,33.437,31.536,29.98,28.76,27.82,26.67,26.2,26.15
5Y,5Y,41.99,36.524,32.326,29.005,27.677,26.6,25.73,25.02,24.06,23.57,23.4
5Y,10Y,34.417,30.948,28.148,25.954,25.136,24.51,23.99,23.56,22.91,22.49,22.25
10Y,1Y,55.16,44.32,37.368,32.259,30.21,28.54,27.31,26.45,25.61,25.52,25.78
10Y,2Y,51.17,42.9,37.078,32.622,30.8,29.28,28.09,27.2,26.12,25.72,25.71
10Y,3Y,48.22,41.43,36.4,32.439,30.796,29.4,28.27,27.38,26.18,25.58,25.37
10Y,5Y,40.55,35.891,32.181,29.144,27.857,26.74,25.8,25.02,23.87,23.17,22.8
10Y,10Y,33.601,30.509,27.978,25.926,25.086,24.37,23.76,23.24,22.44,21.9,21.56